source,price,price_per_meter,area,rooms,floor,market_type,furnished,description,date,url,title,street,neighbourhood,district,voivodeship
otodom,1400000,20000,70.0,3.0,,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/gotowe-3-pokojowe-tuz-przy-metrze-bezposrednio-ID4wzo1,"Gotowe 3-pokojowe tuż przy metrze, bezpośrednio!",ul. Michała Ossowskiego,Targówek Mieszkaniowy,Targówek,mazowieckie
otodom,999000,15757,63.4,3.0,4,pierwotny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/3pokoje-2lazienki-stan-developerski-bezposrednio-ID4uRdS,3pokoje 2łazienki ★Stan developerski ★Bezpośrednio,ul. Instalatorów 7A,Raków,Włochy,mazowieckie
otodom,1394000,18992,73.4,4.0,1,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/nowe-4-pokoje-2-lazienki-balkon13m2-bez-prowizji-ID4uR0W,NOWE 4 pokoje 2 łazienki ★balkon13m2 ★bez prowizji,ul. Łopuszańska,Raków,Włochy,mazowieckie
otodom,,,78.01,3.0,7,pierwotny,1,3-pokojowe mieszkanie numer 150 na 7. piętrze w Inwestycji Neopolis III Dewelopera Neocity Group,2025-03-23,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-78m2-taras-bezposrednio-ID4uins,3-pokojowe mieszkanie 78m2 + taras Bezpośrednio,ul. Herbu Oksza,Szamoty,Ursus,mazowieckie
otodom,,,35.17,1.0,> 10,pierwotny,1,1-pokojowy apartament numer A.228 na 20. piętrze w budynku 1 w Inwestycji Towarowa Towers Dewelopera Asbud Group,2025-03-23,https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-35m2-bez-prowizji-ID4ulPK,1-pokojowy apartament 35m2 Bez Prowizji,ul. Towarowa,Czyste,Wola,mazowieckie
otodom,,,87.03,4.0,2,pierwotny,1,4-pokojowe mieszkanie numer C_59 na 2. piętrze w budynku C w Inwestycji Via Familia Dewelopera Spravia,2025-03-23,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-87m2-balkon-ID4uS0M,4-pokojowe mieszkanie 87m2 + balkon,ul. Familijna,Żerań,Białołęka,mazowieckie
otodom,799000,6914,115.56,5.0,,pierwotny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/segment-115m2-swietna-lokalizacja-450m-do-skm-ID4wxq1,Segment 115m2. Świetna lokalizacja-450m do SKM,Groszówka,Groszówka,Wesoła,mazowieckie
otodom,1269000,17496,72.53,3.0,0,pierwotny,1,3-pokojowe mieszkanie numer 8 na parterze w budynku 1 w Inwestycji Slow Wilanów Dewelopera Novisa Development,2025-03-23,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-72m2-ogrodek-bez-prowizji-ID4ulSb,3-pokojowe mieszkanie 72m2 + ogródek Bez Prowizji,ul. Gratyny,Kępa Zawadowska,Wilanów,mazowieckie
otodom,1845000,19592,94.17,3.0,0,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/azurowe-okiennice-ogrod-100m2-taras-40m2-ID4uAib,Ażurowe Okiennice | Ogród 100M2 | Taras 40M2,Stegny,Stegny,Mokotów,mazowieckie
otodom,795000,15000,53.0,2.0,2,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/idealne-2-pokojowe-nowoczesne-52-m-z-balkonem-ID4wksr,Idealne 2-pokojowe nowoczesne 52 m² z balkonem,ul. Starowiślna,Żerań,Białołęka,mazowieckie
otodom,,,,,,,,,,https://www.otodom.pl/hpr/undefined,,,,,
